rank,ins,name,classes,efsa_adi,india_products,pct,tag
"165","503I","Ammonium carbonate","","","2","0.09","en:e503i"
"166","401","sodium alginate","carrier, emulsifier, humectant, sequestrant, stabiliser, thickener","","2","0.09","en:e401"
"167","1200","Polydextrose","humectant, stabiliser, thickener","","2","0.09","en:e1200"
"168","142","Green s","","","2","0.09","en:e142"
"169","124","Ponceau 4r","colour","","2","0.09","en:e124"
"170","475","Polyglycerol esters of fatty acids","emulsifier, stabiliser","","2","0.09","en:e475"
"171","160AIII","Beta-carotene from blakeslea trispora","colour","","2","0.09","en:e160aiii"
"172","968","Erythritol","humectant, sweetener","","2","0.09","en:e968"
"173","541","Sodium aluminium phosphate","emulsifier, stabiliser, thickener","","2","0.09","en:e541"
"174","123","Amaranth","colour","","2","0.09","en:e123"
"175","310","Propyl gallate","antioxidant","","2","0.09","en:e310"
"176","579","iron gluconate","","","2","0.09","en:e579"
"177","132","Indigotine","colour","5","2","0.09","en:e132"
"178","472","acid esters of mono- and diglycerides of fatty acids","","","2","0.09","en:e472"
"179","904","Shellac","","","2","0.09","en:e904"
"180","160E","Beta-apo-8′-carotenal (c30)","colour","","1","0.04","en:e160e"
"181","172","Iron oxides and iron hydroxides","colour","","1","0.04","en:e172"
"182","172II","Red iron oxide","colour","","1","0.04","en:e172ii"
"183","141II","Copper complexes of chlorophyllins","colour","","1","0.04","en:e141ii"
"184","552","Calcium silicate","","","1","0.04","en:e552"
"185","217","Sodium propyl para-hydroxybenzoate","","","1","0.04","en:e217"
"186","1204","Pullulan","thickener","","1","0.04","en:e1204"
"187","958","Glycyrrhizin","sweetener","","1","0.04","en:e958"
"188","458","Gamma-Cyclodextrine","stabiliser, thickener","","1","0.04","en:e458"
"189","487","sodium dodecyl sulfate","","","1","0.04","en:e487"
"190","559","Aluminium silicate","","","1","0.04","en:e559"
"191","280","Propionic acid","preservative","","1","0.04","en:e280"
"192","923","ammonium persulfate","","","1","0.04","en:e923"
"193","630","Inosinic acid","","","1","0.04","en:e630"
"194","629","Calcium guanylate","","","1","0.04","en:e629"
"195","221","Sodium sulphite","antioxidant, preservative","0.7","1","0.04","en:e221"
"196","905B","petroleum jelly","","","1","0.04","en:e905b"
"197","905","Synthetic wax","","","1","0.04","en:e905"
"198","641","Leucine","","","1","0.04","en:e641"
"199","337","Potassium sodium tartrate","sequestrant, stabiliser","","1","0.04","en:e337"
"200","511","Magnesium chloride","stabiliser, coagulant","","1","0.04","en:e511"
"201","160D","Lycopene","colour","","1","0.04","en:e160d"
"202","640","Glycine and its sodium salt","","","1","0.04","en:e640"
"203","1440","Hydroxypropyl starch","emulsifier, stabiliser, thickener","","1","0.04","en:e1440"
"204","450VII","Calcium dihydrogen diphosphate","emulsifier, humectant, sequestrant, stabiliser, thickener","","1","0.04","en:e450vii"
"205","470A","Sodium/potassium and calcium salts of fatty acids","emulsifier, stabiliser, thickener","","1","0.04","en:e470a"
"206","516","Calcium sulphate","sequestrant, stabiliser","","1","0.04","en:e516"
"207","1202","Polyvinylpolypyrrolidone","stabiliser","","1","0.04","en:e1202"
"208","1521","Polyethylene glycol","","","1","0.04","en:e1521"
"209","262II","Sodium diacetate","preservative, sequestrant","","1","0.04","en:e262ii"
"210","1401","Acid-treated modified starch","emulsifier, stabiliser, thickener","","1","0.04","en:e1401"
"211","421","Mannitol","humectant, stabiliser, sweetener, thickener","","1","0.04","en:e421"
"212","220","Sulphur dioxide","antioxidant, preservative","0.7","1","0.04","en:e220"
"213","222","Sodium bisulphite","antioxidant, preservative","0.7","1","0.04","en:e222"
"214","381","ferric ammonium citrate","","","1","0.04","en:e381"
"215","965II","Maltitol syrup","emulsifier, humectant, stabiliser, sweetener, thickener","","1","0.04","en:e965ii"
"216","965I","D-Maltitol","emulsifier, humectant, stabiliser, sweetener, thickener","","1","0.04","en:e965i"
"217","491","Sorbitan monostearate","emulsifier","26","1","0.04","en:e491"
"218","465","Ethyl methyl cellulose","emulsifier, stabiliser, thickener","","1","0.04","en:e465"
"219","103","Alkannin","","","1","0.04","en:e103"
"220","472C","Citric acid esters of mono- and diglycerides of fatty acids","antioxidant, emulsifier, sequestrant, stabiliser","","1","0.04","en:e472c"
"221","504","Magnesium carbonates","carrier","","1","0.04","en:e504"
"222","504I","Magnesium carbonate","carrier","","1","0.04","en:e504i"
"223","492","Sorbitan tristearate","emulsifier, stabiliser","","1","0.04","en:e492"
"224","420II","Sorbitol syrup","humectant, sequestrant, stabiliser, sweetener, thickener","","1","0.04","en:e420ii"
"225","329","Magnesium lactate","","","1","0.04","en:e329"
"226","406","Agar","carrier, emulsifier, humectant, stabiliser, thickener","","1","0.04","en:e406"
"227","450II","Trisodium diphosphate","emulsifier, humectant, sequestrant, stabiliser, thickener","","1","0.04","en:e450ii"
"228","541I","Acid sodium aluminium phosphate","emulsifier, stabiliser, thickener","","1","0.04","en:e541i"
"229","174","Silver","","","1","0.04","en:e174"
"230","1103","Invertase","stabiliser","","1","0.04","en:e1103"
"231","232","Sodium orthophenyl phenol","preservative","","1","0.04","en:e232"
"232","626","Guanylic acid","","","1","0.04","en:e626"
"233","524","Sodium hydroxide","","","1","0.04","en:e524"
"234","1510","Ethanol","","","1","0.04","en:e1510"
"235","252","Potassium nitrate","preservative","3.7","1","0.04","en:e252"
"236","201","Sodium sorbate","preservative","","1","0.04","en:e201"
"237","953","isomalt","stabiliser, sweetener, thickener","","1","0.04","en:e953"
"238","304I","Ascorbyl palmitate","antioxidant","","1","0.04","en:e304i"
"239","140I","Chlorophylls","colour","","1","0.04","en:e140i"
"240","212","Potassium benzoate","preservative","5","1","0.04","en:e212"
"241","331I","Monosodium citrate","emulsifier, sequestrant, stabiliser","","1","0.04","en:e331i"
"242","163C","Malvidin","colour","","1","0.04","en:e163c"
"243","407A","Processed eucheuma seaweed","carrier, emulsifier, humectant, stabiliser, thickener","75","1","0.04","en:e407a"
"244","1405","Enzyme treated starch","emulsifier, stabiliser, thickener","","1","0.04","en:e1405"
"245","473","Sucrose esters of fatty acids","emulsifier, stabiliser","40","1","0.04","en:e473"
"246","1412","Distarch phosphate","emulsifier, stabiliser, thickener","","1","0.04","en:e1412"
